TreeUID,Farm,Treatment,Season,Diameter,Flower Intensity,No. of young pods,Damaged young pods,Matured pod,Damaged pod,Canopy health,pest,Mean pH,SD pH,Mean N (%),SD N (%),Mean P (mg/Kg),SD P (mg/Kg),Mean K (mg/Kg),SD K (mg/Kg),Mean  Ca(mg/Kg),SD  Ca(mg/Kg),Mean Mg(mg/Kg),SD Mg(mg/Kg),Mean O.C (%),SD O.C (%),Mean O.M (%),SD O.M (%),Mean NDVI,SD NDVI
F_1_TS_BC_1,Farm 1,TS_BC,Wet,45.5,High,12,1,15,0,Very High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..62,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_2,Farm 1,TS_BC,Wet,20.5,Very low,1,0,2,0,Moderate,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..63,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_3,Farm 1,TS_BC,Wet,25,Low,6,1,2,0,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..64,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_4,Farm 1,TS_BC,Wet,36,Moderate,11,0,9,5,High,Moderate,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..65,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_5,Farm 1,TS_BC,Wet,31,High,9,1,14,2,High,Low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..66,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_6,Farm 1,TS_BC,Wet,31.5,Very low,27,21,9,1,High,High,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..67,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_7,Farm 1,TS_BC,Wet,32.5,High,8,1,6,3,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..68,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_8,Farm 1,TS_BC,Wet,46,High,6,1,8,1,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..69,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_9,Farm 1,TS_BC,Wet,41.5,Low,29,4,20,1,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..70,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_10,Farm 1,TS_BC,Wet,47.5,High,3,1,8,0,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..71,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_11,Farm 1,TS_BC,Wet,29.5,Low,0,0,12,0,Moderate,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..72,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_12,Farm 1,TS_BC,Wet,35,Moderate,6,1,4,0,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..73,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_13,Farm 1,TS_BC,Wet,46.5,Very High,15,0,8,1,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..74,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_14,Farm 1,TS_BC,Wet,44,Moderate,11,4,5,2,Moderate,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..75,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_15,Farm 1,TS_BC,Wet,32,Very low,46,15,16,0,Moderate,Low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..76,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_16,Farm 1,TS_BC,Wet,33.5,Low,27,5,15,5,High,Low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..77,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_17,Farm 1,TS_BC,Wet,26,Very low,27,15,26,2,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..78,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_18,Farm 1,TS_BC,Wet,29,Very low,27,17,4,0,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..79,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_19,Farm 1,TS_BC,Wet,34,Low,7,1,12,2,High,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..80,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_TS_BC_20,Farm 1,TS_BC,Wet,21,Very low,3,0,0,0,Moderate,Very low,5.45,0.19,0.14,0.06,5.793,3.53,465.559,252.81,1960,612..81,336,91.91,3.83,1,6.604,1.73,0.92,0
F_1_I_BC_1,Farm 1,I_BC,Wet,21,Very low,1,0,3,0,Moderate,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_2,Farm 1,I_BC,Wet,37,Moderate,2,0,1,0,Moderate,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_3,Farm 1,I_BC,Wet,37,Low,0,0,0,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_4,Farm 1,I_BC,Wet,29.5,High,7,0,3,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_5,Farm 1,I_BC,Wet,40.5,Moderate,5,1,3,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_6,Farm 1,I_BC,Wet,43,Low,9,2,25,2,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_7,Farm 1,I_BC,Wet,35,Moderate,4,1,0,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
